asset_id,asset_type,latitude,longitude,age_years,material,inspection_score,tilt_deg,corrosion_score,foundation_type,last_maintenance_date,temp_residual_c,vibration_rms_delta,partial_discharge_cnt,oil_quality_index,loading_ratio,overload_duration_h
A-01,pole,51.61154,-0.49999,38,wood,32,6.2,78,direct_buried,2025-05-22,None,None,None,None,None,None
A-02,transformer,51.32002,-0.34143,41,steel,28,5.8,82,direct_buried,2025-04-12,40.8,3.5,778,22,1.2,17.4
A-03,pole,51.12384,-0.34509,35,wood,35,6.7,71,direct_buried,2025-07-31,None,None,None,None,None,None
A-04,substation,51.50428,-0.49877,44,steel,22,5.1,85,concrete_pad,2025-01-22,34.4,3.5,689,18,1.2,18.7
A-05,pole,51.74754,-0.5148,33,wood,30,7.0,74,direct_buried,2025-08-20,None,None,None,None,None,None
A-06,transformer,51.74466,0.03851,29,steel,40,5.4,68,concrete_pad,2025-06-21,36.1,3.0,795,15,1.2,17.0
A-07,transformer,51.38718,-0.24484,22,steel,55,1.5,40,concrete_pad,2026-02-26,31.7,2.3,685,25,1.1,19.2
A-08,substation,51.16304,-0.28546,18,steel,60,0.8,35,concrete_pad,2026-03-18,36.8,3.6,635,14,1.3,10.5
A-09,transformer,51.28232,-0.28849,20,steel,52,2.0,42,concrete_pad,2026-02-06,29.1,2.6,501,20,1.2,16.4
A-10,transformer,51.66146,0.02684,13,wood,58,0.7,32,rock_anchor,2025-09-26,5.6,0.2,7,70,0.6,0.0
A-11,pole,51.64769,0.15428,10,wood,89,4.5,50,direct_buried,2025-11-23,None,None,None,None,None,None
A-12,pole,51.83051,-0.06626,3,concrete,62,3.6,35,concrete_pad,2026-08-02,None,None,None,None,None,None
A-13,pole,51.3119,-0.3227,8,concrete,86,2.9,35,rock_anchor,2026-01-13,None,None,None,None,None,None
A-14,transformer,51.27546,0.27803,10,concrete,82,3.4,37,concrete_pad,2026-02-12,-0.9,0.0,3,69,0.6,0.0
A-15,substation,51.8969,-0.09671,23,concrete,69,1.9,14,direct_buried,2026-02-21,6.2,0.0,28,94,0.7,0.0
A-16,transformer,51.1026,0.05767,22,concrete,72,1.5,28,concrete_pad,2026-06-16,9.7,0.3,16,66,0.8,0.0
A-17,pole,51.39913,-0.39076,11,concrete,83,3.8,42,direct_buried,2026-05-26,None,None,None,None,None,None
A-18,transformer,51.29156,-0.3273,21,concrete,52,1.5,11,direct_buried,2026-03-03,-1.0,0.2,2,94,0.7,0.0
A-19,substation,51.79795,-0.18149,6,wood,55,3.0,45,rock_anchor,2026-04-22,7.1,0.3,22,79,0.5,0.0
A-20,pole,51.29832,-0.46878,23,wood,78,2.9,38,rock_anchor,2026-01-16,None,None,None,None,None,None
A-21,substation,51.60488,-0.33685,19,wood,45,1.0,24,concrete_pad,2026-07-30,-1.1,0.1,21,91,0.4,0.0
A-22,pole,51.7277,0.126,6,wood,81,3.3,46,direct_buried,2026-01-05,None,None,None,None,None,None
A-23,transformer,51.79107,-0.47666,5,concrete,72,3.0,32,rock_anchor,2026-02-06,-0.8,0.2,10,66,0.4,0.0
A-24,transformer,51.4701,0.17959,8,wood,72,2.4,18,concrete_pad,2026-06-03,7.7,0.3,3,63,0.7,0.0
A-25,pole,51.42513,-0.13491,19,steel,93,3.8,15,direct_buried,2026-05-06,None,None,None,None,None,None
A-26,transformer,51.43841,0.24585,7,concrete,61,1.7,34,rock_anchor,2026-01-15,6.6,0.1,9,73,0.8,0.0
A-27,pole,51.14011,-0.13857,20,concrete,92,3.3,13,direct_buried,2026-03-28,None,None,None,None,None,None
A-28,substation,51.15437,0.16946,3,steel,56,4.3,15,direct_buried,2026-07-31,9.3,0.2,18,62,0.6,0.0
A-29,transformer,51.26341,0.05295,15,wood,78,3.0,46,concrete_pad,2026-03-27,2.7,0.3,9,89,0.5,0.0
A-30,pole,51.53011,-0.11529,4,wood,81,0.0,49,concrete_pad,2026-07-15,None,None,None,None,None,None
A-31,transformer,51.767,0.04283,4,concrete,63,4.0,33,rock_anchor,2026-06-16,4.3,0.3,17,79,0.8,0.0
A-32,pole,51.69393,-0.39564,5,steel,61,4.2,18,rock_anchor,2026-07-07,None,None,None,None,None,None
A-33,transformer,51.50433,-0.3191,8,wood,88,3.2,23,direct_buried,2025-10-15,5.6,0.3,1,60,0.5,0.0
A-34,substation,51.66453,-0.07127,6,wood,55,2.9,26,direct_buried,2026-01-21,9.3,0.3,4,94,0.3,0.0
A-35,pole,51.34661,0.19919,13,wood,72,2.6,19,concrete_pad,2026-07-01,None,None,None,None,None,None
A-36,substation,51.80731,-0.1949,8,concrete,51,3.1,52,rock_anchor,2026-03-07,-0.1,0.4,27,70,0.8,0.0
A-37,transformer,51.74179,0.17125,7,wood,56,4.0,11,concrete_pad,2026-03-18,-0.1,0.3,12,62,0.8,0.0
A-38,pole,51.27834,0.00803,9,steel,67,0.9,39,concrete_pad,2026-04-01,None,None,None,None,None,None
A-39,substation,51.50752,0.02361,10,concrete,62,3.9,59,concrete_pad,2026-03-09,9.3,0.0,8,71,0.6,0.0
A-40,substation,51.72914,-0.17088,10,concrete,72,0.2,48,direct_buried,2026-03-12,2.6,0.2,8,62,0.7,0.0
