asset_id,asset_type,latitude,longitude,age_years,material,inspection_score,tilt_deg,corrosion_score,foundation_type,last_maintenance_date,wind_gust_kmh,rainfall_mm,flood_depth_cm,erosion_index,drainage_score,road_access_score,clearance_score,canopy_distance_m,tree_height_m,feeder_id,downstream_customers,critical_loads,redundancy,factor_wind,factor_rain,factor_tilt,factor_erosion,factor_corrosion,factor_drainage,factor_vegetation,factor_age,factor_thermal,factor_vibration,factor_partial_dc,factor_oil,factor_overload,temp_residual_c,vibration_rms_delta,partial_discharge_cnt,oil_quality_index,loading_ratio,overload_duration_h,risk_score,dominant_cause,critical_load_multiplier,expected_loss,estimated_intervention_cost,net_benefit,priority_score,recommended_action,action_tier,expected_risk_reduction_pct,recommended_crew_type,risk_band,safety_note
A-05,pole,51.74754,-0.5148,33,wood,30,7.0,74,direct_buried,2025-08-19,81.0,83.5,12.3,91,21,17,30,1.4,22.0,F-101,3109,shelter,False,10.5,13.96,15.0,13.29,6.0,4.75,3.75,2.74,0.0,0.0,0.0,0.0,0.0,,,,,,,70.0,flood_drainage,2.0,217630.0,1200,102972.4,85.810333,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,critical,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-02,transformer,51.32002,-0.34143,41,steel,28,5.8,82,direct_buried,2025-04-11,87.0,82.4,10.4,88,11,40,9,0.5,21.1,F-101,1608,water_treatment,False,13.5,13.2,10.5,12.0,9.43,7.25,11.62,5.05,17.6,10.29,14.56,7.6,10.35,40.8,3.5,778.0,22.0,1.2,17.4,100.0,flood_drainage,2.5,201000.0,1200,94990.0,79.158333,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,critical,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-01,pole,51.61154,-0.49999,38,wood,32,6.2,78,direct_buried,2025-05-21,76.5,93.6,13.1,87,16,33,16,1.8,22.4,F-100,1221,water_treatment,False,8.25,16.67,12.0,11.57,7.71,6.0,9.0,4.23,0.0,0.0,0.0,0.0,0.0,,,,,,,75.4,flood_drainage,2.5,115079.25,1200,53748.04,44.790033,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,critical,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-03,pole,51.12384,-0.34509,35,wood,35,6.7,71,direct_buried,2025-07-30,82.4,73.5,13.0,77,33,26,8,1.3,17.1,F-100,3484,hospital,False,11.2,11.63,13.88,7.29,4.71,1.75,12.0,3.25,0.0,0.0,0.0,0.0,0.0,,,,,,,65.7,wind_foundation,3.0,343348.2,4500,183861.51,40.858113,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,elevated,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-06,transformer,51.74466,0.03851,29,steel,40,5.4,68,concrete_pad,2025-06-20,91.0,94.3,7.0,84,24,20,29,0.9,21.9,F-101,3369,hospital,False,15.5,15.32,9.0,10.29,3.43,4.0,4.12,2.27,14.91,8.57,14.9,9.0,10.25,36.1,3.0,795.0,15.0,1.2,17.0,100.0,insulation_degradation,3.0,505350.0,10000,353012.0,35.3012,"ADVISORY: Elevated partial-discharge count and/or oil quality degradation detected — indicative of insulation system stress. Arrange urgent oil sampling and DGA (dissolved gas analysis) by a qualified high-voltage engineer before next scheduled maintenance window. Initiate condition-based maintenance review; if DGA confirms thermal fault or arcing gases, escalate to emergency replacement planning. No live work on insulation systems is permitted without full isolation, earthing, and sign-off by a qualified licensed engineer.",immediate,72,HV-qualified engineer + oil sampling specialist,critical,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-04,substation,51.50428,-0.49877,44,steel,22,5.1,85,concrete_pad,2025-01-21,85.5,51.5,18.7,91,12,14,8,0.8,21.8,F-100,3372,shelter,False,12.75,7.55,7.87,13.29,10.71,7.0,12.0,6.09,13.94,10.29,12.78,8.4,10.67,34.4,3.5,689.0,18.0,1.2,18.7,100.0,insulation_degradation,2.0,337200.0,10000,231944.0,23.1944,"ADVISORY: Elevated partial-discharge count and/or oil quality degradation detected — indicative of insulation system stress. Arrange urgent oil sampling and DGA (dissolved gas analysis) by a qualified high-voltage engineer before next scheduled maintenance window. Initiate condition-based maintenance review; if DGA confirms thermal fault or arcing gases, escalate to emergency replacement planning. No live work on insulation systems is permitted without full isolation, earthing, and sign-off by a qualified licensed engineer.",immediate,72,HV-qualified engineer + oil sampling specialist,critical,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-22,pole,51.7277,0.126,6,wood,81,3.3,46,direct_buried,2026-01-04,47.4,35.9,5.4,13,56,57,25,3.5,12.8,F-100,725,hospital,False,0.0,1.35,1.12,0.0,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.1,vegetation,3.0,8808.75,800,4315.25,5.394063,Arrange targeted vegetation trimming to restore safe conductor clearance. Inspect conductor for signs of abrasion or tracking damage after trimming. Log encroaching tree species and height for future vegetation-management schedule. Trimming must be carried out by a qualified arborist with utility line clearance training; no cutting within minimum approach distance without engineer approval.,scheduled,60,Qualified arborist with utility clearance certification,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-07,transformer,51.38718,-0.24484,22,steel,55,1.5,40,concrete_pad,2026-02-25,50.7,54.7,2.8000000000000003,66,67,73,28,6.6,13.0,F-101,950,hospital,False,0.0,4.38,0.0,2.57,0.0,0.0,4.5,0.4,12.4,6.17,12.7,7.0,8.8,31.7,2.3,685.0,25.0,1.1,19.2,58.9,insulation_degradation,3.0,83932.5,10000,49591.4,4.95914,"ADVISORY: Elevated partial-discharge count and/or oil quality degradation detected — indicative of insulation system stress. Arrange urgent oil sampling and DGA (dissolved gas analysis) by a qualified high-voltage engineer before next scheduled maintenance window. Initiate condition-based maintenance review; if DGA confirms thermal fault or arcing gases, escalate to emergency replacement planning. No live work on insulation systems is permitted without full isolation, earthing, and sign-off by a qualified licensed engineer.",immediate,72,HV-qualified engineer + oil sampling specialist,elevated,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-08,substation,51.16304,-0.28546,18,steel,60,0.8,35,concrete_pad,2026-03-17,37.1,52.4,2.0,14,48,58,59,5.1,13.8,F-103,1343,shelter,False,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,15.31,10.63,11.7,9.2,10.62,36.8,3.6,635.0,14.0,1.3,10.5,61.1,insulation_degradation,2.0,82057.3,10000,48241.26,4.824126,"ADVISORY: Elevated partial-discharge count and/or oil quality degradation detected — indicative of insulation system stress. Arrange urgent oil sampling and DGA (dissolved gas analysis) by a qualified high-voltage engineer before next scheduled maintenance window. Initiate condition-based maintenance review; if DGA confirms thermal fault or arcing gases, escalate to emergency replacement planning. No live work on insulation systems is permitted without full isolation, earthing, and sign-off by a qualified licensed engineer.",immediate,72,HV-qualified engineer + oil sampling specialist,elevated,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-12,pole,51.83051,-0.06626,3,concrete,62,3.6,35,concrete_pad,2026-08-01,44.400000000000006,48.5,1.7,33,38,89,28,1.0,15.3,F-100,1309,none,False,0.0,2.54,2.25,0.0,0.0,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.8,vegetation,1.0,6414.1,800,2878.46,3.598075,Arrange targeted vegetation trimming to restore safe conductor clearance. Inspect conductor for signs of abrasion or tracking damage after trimming. Log encroaching tree species and height for future vegetation-management schedule. Trimming must be carried out by a qualified arborist with utility line clearance training; no cutting within minimum approach distance without engineer approval.,scheduled,60,Qualified arborist with utility clearance certification,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
