asset_id,incident_date,cause,downtime_hours
A-01,2023-02-08,corrosion,63.4
A-01,2023-08-05,wind,52.4
A-02,2025-02-07,wind,55.9
A-02,2025-03-04,corrosion,65.6
A-03,2024-04-01,wind,68.4
A-03,2025-06-16,corrosion,64.2
A-04,2024-05-17,wind,31.0
A-04,2024-08-09,flood,30.3
A-05,2024-08-07,flood,5.9
A-05,2026-02-23,vegetation_contact,57.8
A-06,2026-06-27,vegetation_contact,66.4
A-06,2024-01-20,flood,55.6
A-18,2022-09-03,vegetation_contact,7.7
A-12,2026-09-10,thermal_overload,6.5
A-36,2024-05-13,vegetation_contact,16.3
A-21,2026-03-22,thermal_overload,2.6
A-32,2023-10-02,wind,10.0
A-27,2024-01-25,wind,15.6
A-19,2024-08-10,equipment_age,18.2
A-34,2024-09-12,flood,8.9
