asset_id,asset_type,latitude,longitude,age_years,material,inspection_score,tilt_deg,corrosion_score,foundation_type,last_maintenance_date,wind_gust_kmh,rainfall_mm,flood_depth_cm,erosion_index,drainage_score,road_access_score,clearance_score,canopy_distance_m,tree_height_m,feeder_id,downstream_customers,critical_loads,redundancy,factor_wind,factor_rain,factor_tilt,factor_erosion,factor_corrosion,factor_drainage,factor_vegetation,factor_age,factor_thermal,factor_vibration,factor_partial_dc,factor_oil,factor_overload,temp_residual_c,vibration_rms_delta,partial_discharge_cnt,oil_quality_index,loading_ratio,overload_duration_h,risk_score,dominant_cause
A-02,transformer,51.32002,-0.34143,41,steel,28,5.8,82,direct_buried,2025-04-11,87.0,82.4,10.4,88,11,40,9,0.5,21.1,F-101,1608,water_treatment,False,13.5,13.2,10.5,12.0,9.43,7.25,11.62,5.05,17.6,10.29,14.56,7.6,10.35,40.8,3.5,778.0,22.0,1.2,17.4,100.0,flood_drainage
A-04,substation,51.50428,-0.49877,44,steel,22,5.1,85,concrete_pad,2025-01-21,85.5,51.5,18.7,91,12,14,8,0.8,21.8,F-100,3372,shelter,False,12.75,7.55,7.87,13.29,10.71,7.0,12.0,6.09,13.94,10.29,12.78,8.4,10.67,34.4,3.5,689.0,18.0,1.2,18.7,100.0,insulation_degradation
A-06,transformer,51.74466,0.03851,29,steel,40,5.4,68,concrete_pad,2025-06-20,91.0,94.3,7.0,84,24,20,29,0.9,21.9,F-101,3369,hospital,False,15.5,15.32,9.0,10.29,3.43,4.0,4.12,2.27,14.91,8.57,14.9,9.0,10.25,36.1,3.0,795.0,15.0,1.2,17.0,100.0,insulation_degradation
A-01,pole,51.61154,-0.49999,38,wood,32,6.2,78,direct_buried,2025-05-21,76.5,93.6,13.1,87,16,33,16,1.8,22.4,F-100,1221,water_treatment,False,8.25,16.67,12.0,11.57,7.71,6.0,9.0,4.23,0.0,0.0,0.0,0.0,0.0,,,,,,,75.4,flood_drainage
A-05,pole,51.74754,-0.5148,33,wood,30,7.0,74,direct_buried,2025-08-19,81.0,83.5,12.3,91,21,17,30,1.4,22.0,F-101,3109,shelter,False,10.5,13.96,15.0,13.29,6.0,4.75,3.75,2.74,0.0,0.0,0.0,0.0,0.0,,,,,,,70.0,flood_drainage
A-03,pole,51.12384,-0.34509,35,wood,35,6.7,71,direct_buried,2025-07-30,82.4,73.5,13.0,77,33,26,8,1.3,17.1,F-100,3484,hospital,False,11.2,11.63,13.88,7.29,4.71,1.75,12.0,3.25,0.0,0.0,0.0,0.0,0.0,,,,,,,65.7,wind_foundation
A-08,substation,51.16304,-0.28546,18,steel,60,0.8,35,concrete_pad,2026-03-17,37.1,52.4,2.0,14,48,58,59,5.1,13.8,F-103,1343,shelter,False,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,15.31,10.63,11.7,9.2,10.62,36.8,3.6,635.0,14.0,1.3,10.5,61.1,insulation_degradation
A-07,transformer,51.38718,-0.24484,22,steel,55,1.5,40,concrete_pad,2026-02-25,50.7,54.7,2.8000000000000003,66,67,73,28,6.6,13.0,F-101,950,hospital,False,0.0,4.38,0.0,2.57,0.0,0.0,4.5,0.4,12.4,6.17,12.7,7.0,8.8,31.7,2.3,685.0,25.0,1.1,19.2,58.9,insulation_degradation
A-09,transformer,51.28232,-0.28849,20,steel,52,2.0,42,concrete_pad,2026-02-05,53.5,45.6,5.3,51,41,80,64,0.7,6.9,F-104,165,shelter,True,0.0,2.72,0.0,0.0,0.0,0.0,0.0,0.0,10.91,7.2,9.02,8.0,10.1,29.1,2.6,501.0,20.0,1.2,16.4,48.0,insulation_degradation
A-29,transformer,51.26341,0.05295,15,wood,78,3.0,46,concrete_pad,2026-03-26,75.8,26.3,3.1,71,68,88,34,3.8,10.3,F-102,419,water_treatment,False,7.9,0.78,0.0,4.71,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.3,9.0,89.0,0.5,0.0,15.6,wind_foundation
A-31,transformer,51.767,0.04283,4,concrete,63,4.0,33,rock_anchor,2026-06-15,73.89999999999999,37.2,1.8,67,86,39,39,5.8,9.5,F-101,208,shelter,True,6.95,0.45,3.75,3.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.3,17.0,79.0,0.8,0.0,14.5,wind_foundation
A-28,substation,51.15437,0.16946,3,steel,56,4.3,15,direct_buried,2026-07-30,47.7,27.5,1.8,70,43,87,30,1.0,17.5,F-104,791,hospital,False,0.0,0.45,4.87,4.29,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.2,18.0,62.0,0.6,0.0,13.4,wind_foundation
A-12,pole,51.83051,-0.06626,3,concrete,62,3.6,35,concrete_pad,2026-08-01,44.400000000000006,48.5,1.7,33,38,89,28,1.0,15.3,F-100,1309,none,False,0.0,2.54,2.25,0.0,0.0,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.8,vegetation
A-25,pole,51.42513,-0.13491,19,steel,93,3.8,15,direct_buried,2026-05-05,67.3,16.1,1.6,21,31,75,47,0.6,15.4,F-102,1393,none,True,3.65,0.4,3.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.3,wind_foundation
A-16,transformer,51.1026,0.05767,22,concrete,72,1.5,28,concrete_pad,2026-06-15,58.6,58.3,3.1,24,83,42,31,7.1,4.8,F-103,261,shelter,True,0.0,5.35,0.0,0.0,0.0,0.0,3.38,0.4,0.0,0.0,0.0,0.0,0.0,9.7,0.3,16.0,66.0,0.8,0.0,9.1,flood_drainage
A-22,pole,51.7277,0.126,6,wood,81,3.3,46,direct_buried,2026-01-04,47.4,35.9,5.4,13,56,57,25,3.5,12.8,F-100,725,hospital,False,0.0,1.35,1.12,0.0,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.1,vegetation
A-37,transformer,51.74179,0.17125,7,wood,56,4.0,11,concrete_pad,2026-03-17,39.0,36.8,5.2,24,90,38,34,2.2,16.0,F-101,1143,water_treatment,False,0.0,1.3,3.75,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.3,12.0,62.0,0.8,0.0,7.3,wind_foundation
A-30,pole,51.53011,-0.11529,4,wood,81,0.0,49,concrete_pad,2026-07-14,72.0,29.6,4.3,12,91,81,76,7.0,12.4,F-103,443,water_treatment,True,6.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.1,wind_foundation
A-14,transformer,51.27546,0.27803,10,concrete,82,3.4,37,concrete_pad,2026-02-11,58.7,58.0,2.7,43,93,44,72,3.6,8.1,F-104,1384,water_treatment,False,0.0,5.18,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,3.0,69.0,0.6,0.0,6.7,flood_drainage
A-11,pole,51.64769,0.15428,10,wood,89,4.5,50,direct_buried,2025-11-22,59.3,10.7,3.4000000000000004,18,59,90,76,7.0,12.2,F-100,805,shelter,True,0.0,0.85,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.5,wind_foundation
A-17,pole,51.39913,-0.39076,11,concrete,83,3.8,42,direct_buried,2026-05-25,47.6,42.9,3.5,40,34,77,79,5.6,6.9,F-104,1373,water_treatment,True,0.0,1.6,3.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.1,flood_drainage
A-32,pole,51.69393,-0.39564,5,steel,61,4.2,18,rock_anchor,2026-07-06,26.1,9.6,4.2,23,38,46,46,3.5,19.4,F-104,1155,hospital,False,0.0,1.05,4.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.0,wind_foundation
A-21,substation,51.60488,-0.33685,19,wood,45,1.0,24,concrete_pad,2026-07-29,36.1,59.3,3.1,11,72,61,53,4.5,7.6,F-102,1440,hospital,False,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.1,21.0,91.0,0.4,0.0,5.6,flood_drainage
A-39,substation,51.50752,0.02361,10,concrete,62,3.9,59,concrete_pad,2026-03-08,39.2,29.1,5.2,21,37,72,69,2.0,16.0,F-103,627,none,False,0.0,1.3,3.37,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,8.0,71.0,0.6,0.0,5.4,wind_foundation
A-13,pole,51.3119,-0.3227,8,concrete,86,2.9,35,rock_anchor,2026-01-12,18.6,57.2,4.199999999999999,57,44,47,73,1.2,11.5,F-104,1185,hospital,False,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.3,flood_drainage
A-20,pole,51.29832,-0.46878,23,wood,78,2.9,38,rock_anchor,2026-01-15,64.1,20.5,3.7,63,41,57,87,3.7,7.1,F-102,629,none,False,2.05,0.93,0.0,1.29,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,,,,,,,4.9,flood_drainage
A-36,substation,51.80731,-0.1949,8,concrete,51,3.1,52,rock_anchor,2026-03-06,57.6,52.7,4.1,45,84,70,68,3.5,7.6,F-103,1300,shelter,False,0.0,4.2,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.4,27.0,70.0,0.8,0.0,4.6,flood_drainage
A-26,transformer,51.43841,0.24585,7,concrete,61,1.7,34,rock_anchor,2026-01-14,58.6,41.3,6.300000000000001,46,32,52,54,1.5,11.6,F-104,223,shelter,False,0.0,1.9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.1,9.0,73.0,0.8,0.0,3.9,flood_drainage
A-35,pole,51.34661,0.19919,13,wood,72,2.6,19,concrete_pad,2026-06-30,61.1,23.0,5.1,57,73,88,35,3.8,9.2,F-100,891,shelter,True,0.55,1.27,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.7,vegetation
