asset_id,slope,soil_class,erosion_index,drainage_score,road_access_score
A-01,17.6,clay,87,16,33
A-02,24.1,clay,88,11,40
A-03,22.0,clay,77,33,26
A-04,12.5,peat,91,12,14
A-05,26.6,peat,91,21,17
A-06,15.2,peat,84,24,20
A-07,14.9,gravel,66,67,73
A-08,14.5,peat,14,48,58
A-09,15.5,peat,51,41,80
A-10,0.3,clay,63,77,63
A-11,10.5,gravel,18,59,90
A-12,0.5,gravel,33,38,89
A-13,16.4,gravel,57,44,47
A-14,0.8,clay,43,93,44
A-15,1.7,sandy_loam,54,88,77
A-16,12.1,peat,24,83,42
A-17,15.0,peat,40,34,77
A-18,3.9,peat,35,76,42
A-19,17.7,gravel,50,37,80
A-20,5.0,clay,63,41,57
A-21,11.6,clay,11,72,61
A-22,17.8,sandy_loam,13,56,57
A-23,14.6,sandy_loam,47,48,30
A-24,5.0,sandy_loam,21,62,52
A-25,2.0,clay,21,31,75
A-26,14.2,sandy_loam,46,32,52
A-27,4.8,sandy_loam,58,44,38
A-28,8.6,gravel,70,43,87
A-29,9.1,clay,71,68,88
A-30,11.6,clay,12,91,81
A-31,7.7,clay,67,86,39
A-32,16.2,gravel,23,38,46
A-33,5.0,gravel,53,67,88
A-34,9.1,peat,17,44,57
A-35,7.7,sandy_loam,57,73,88
A-36,7.2,clay,45,84,70
A-37,12.0,gravel,24,90,38
A-38,1.6,clay,16,85,42
A-39,13.4,gravel,21,37,72
A-40,12.1,peat,50,84,36
