asset_id,feeder_id,downstream_customers,critical_loads,redundancy
A-01,F-100,1221,water_treatment,False
A-02,F-101,1608,water_treatment,False
A-03,F-100,3484,hospital,False
A-04,F-100,3372,shelter,False
A-05,F-101,3109,shelter,False
A-06,F-101,3369,hospital,False
A-07,F-101,950,hospital,False
A-08,F-103,1343,shelter,False
A-09,F-104,165,shelter,True
A-10,F-102,995,none,True
A-11,F-100,805,shelter,True
A-12,F-100,1309,none,False
A-13,F-104,1185,hospital,False
A-14,F-104,1384,water_treatment,False
A-15,F-104,1024,water_treatment,True
A-16,F-103,261,shelter,True
A-17,F-104,1373,water_treatment,True
A-18,F-101,1499,none,False
A-19,F-104,1120,water_treatment,False
A-20,F-102,629,none,False
A-21,F-102,1440,hospital,False
A-22,F-100,725,hospital,False
A-23,F-102,566,water_treatment,False
A-24,F-100,1243,water_treatment,False
A-25,F-102,1393,none,True
A-26,F-104,223,shelter,False
A-27,F-102,311,hospital,False
A-28,F-104,791,hospital,False
A-29,F-102,419,water_treatment,False
A-30,F-103,443,water_treatment,True
A-31,F-101,208,shelter,True
A-32,F-104,1155,hospital,False
A-33,F-104,318,none,True
A-34,F-101,420,water_treatment,False
A-35,F-100,891,shelter,True
A-36,F-103,1300,shelter,False
A-37,F-101,1143,water_treatment,False
A-38,F-103,447,shelter,False
A-39,F-103,627,none,False
A-40,F-101,458,water_treatment,False
