asset_id,canopy_distance_m,tree_height_m,clearance_score
A-01,1.8,22.4,16
A-02,0.5,21.1,9
A-03,1.3,17.1,8
A-04,0.8,21.8,8
A-05,1.4,22.0,30
A-06,0.9,21.9,29
A-07,6.6,13.0,28
A-08,5.1,13.8,59
A-09,0.7,6.9,64
A-10,7.4,8.3,48
A-11,7.0,12.2,76
A-12,1.0,15.3,28
A-13,1.2,11.5,73
A-14,3.6,8.1,72
A-15,2.8,7.8,35
A-16,7.1,4.8,31
A-17,5.6,6.9,79
A-18,4.1,10.0,59
A-19,2.1,11.2,69
A-20,3.7,7.1,87
A-21,4.5,7.6,53
A-22,3.5,12.8,25
A-23,2.0,19.0,42
A-24,6.2,7.2,40
A-25,0.6,15.4,47
A-26,1.5,11.6,54
A-27,4.3,17.0,70
A-28,1.0,17.5,30
A-29,3.8,10.3,34
A-30,7.0,12.4,76
A-31,5.8,9.5,39
A-32,3.5,19.4,46
A-33,6.5,13.1,71
A-34,1.2,17.2,56
A-35,3.8,9.2,35
A-36,3.5,7.6,68
A-37,2.2,16.0,34
A-38,4.3,4.1,90
A-39,2.0,16.0,69
A-40,6.0,16.7,43
